Initial_POC_Density,Ext_O2,Radius_mm,Ext_NO3,Anoxia_Duration_hr,Resp_Rate_nmol_C_mm3_hr,N2O_Net_Domain_SMS_mmol,N2O_Net_Core_SMS_mmol,N2O_Yield_molN2O_per_molC,N2_Net_Domain_SMS_mmol,C_Consumed_Core_mmol,Frac_Oxic_Core,Frac_Den1_Core,Frac_Den2_Core,Frac_Den3_Core,Oxic_C_Core_mmol,Den1_C_Core_mmol,Den2_C_Core_mmol,Den3_C_Core_mmol,Frac_Oxic_Domain,Frac_Den1_Domain,Frac_Den2_Domain,Frac_Den3_Domain,Oxic_C_Domain_mmol,Den1_C_Domain_mmol,Den2_C_Domain_mmol,Den3_C_Domain_mmol,C_Consumed_Domain_mmol,O2_Consumed_Core_mmol,NO3_Consumed_Core_mmol,DOC_Leakage_Core_mmol
425000.0,1.0,1.0,10.0,25.94573211669922,0.31947484612464905,1.9810650046578186e-06,-8.93701335204721e-07,0.02507715372336223,1.1586088536653981e-05,2.5659886613236746e-05,0.010357352374568009,0.5507478828428263,0.2821674790221784,0.15672728576042727,2.6576850019476055e-07,1.4132128898885956e-05,7.240385862278698e-06,4.0216045732326166e-06,0.3172520717396056,0.46309148034122216,0.1539462465987521,0.06571020132042012,2.5062530499977455e-05,3.658366763908093e-05,1.2161567549683582e-05,5.191026541520594e-06,7.899879812963903e-05,2.96449382811289e-07,3.146344836368279e-05,0.0070122431577110955
425000.0,7.0,1.0,10.0,6.062209129333496,0.4446406662464142,7.498529028773701e-09,-1.1402684103016914e-07,0.00032228680208259524,1.3113936418533272e-06,8.344344820211094e-06,0.3164864203456606,0.49424619537016173,0.12208629493070092,0.06718108935347672,2.640871890441073e-06,4.1241607866933025e-06,1.0187301690178416e-06,5.605821894318105e-07,0.690971778554916,0.2329087801233354,0.05084248026825467,0.02527696105349396,1.6076588048618765e-05,5.419003535542515e-06,1.182933422190117e-06,5.881098224125319e-07,2.3266633881123024e-05,2.945683861232311e-06,9.17565884134058e-06,0.0016360585565919072
425000.0,13.0,1.0,10.0,1.0892544984817505,0.5207759141921997,6.774626798578247e-08,5.304644112284219e-08,0.014143419451795274,4.442603541881729e-09,1.756031811556727e-06,0.7292148760327164,0.24153186870403118,0.02854742175326082,0.0007058335099916529,1.2805244979039452e-06,4.2413763770523364e-07,5.013017988048614e-08,1.2394660760394166e-09,0.8707265906778113,0.11536116066019894,0.013509575854745388,0.00040267280724430506,4.170736629391879e-06,5.525741645263322e-07,6.471018970613198e-08,1.928782518892099e-09,4.7899497159566455e-06,1.4279252267064189e-06,9.414285213186119e-07,0.0002926855464019662
425000.0,19.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
425000.0,25.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
612500.0,1.0,1.0,10.0,32.45240783691406,0.29619142413139343,3.664276123216967e-06,-1.673298774161345e-07,0.029731436066735065,2.187716866816191e-05,2.9755792818238376e-05,0.0033898658517759247,0.3378145367652289,0.4375131609035039,0.22128243647949128,1.0086814628461623e-07,1.0051939398620594e-05,1.301855101208194e-05,6.584434354927693e-06,0.3214938246823246,0.4130216758662338,0.18589201999186625,0.07959247945957534,3.962277924511766e-05,5.0903206935520515e-05,2.2910419753302547e-05,9.80944267378863e-06,0.00012324585045243516,1.1243224672415669e-07,2.2379662841861582e-05,0.012656731882557892
612500.0,7.0,1.0,10.0,10.320991516113281,0.5138634443283081,8.495849676525555e-08,-2.8546915206661657e-07,0.001640885098852266,4.454103156659086e-06,1.6418038668320964e-05,0.15234495507673268,0.5145170866574007,0.21688546038848228,0.11625249787738434,2.501205296340063e-06,8.447361197860218e-06,3.5608337798228532e-06,1.9086379542874966e-06,0.6650609673024542,0.2176648787798507,0.07867386390101616,0.038600290016678904,3.4434211292630815e-05,1.1269821558301807e-05,4.073419710321456e-06,1.9985694661684653e-06,5.177601821399966e-05,2.7884126542253394e-06,1.8803115264252532e-05,0.004018325113056553
612500.0,13.0,1.0,10.0,3.7504632472991943,0.6599546670913696,8.071299371880268e-08,1.0372703263379618e-08,0.0037554282512873467,7.831323934183846e-07,7.662158874022467e-06,0.4708458265534658,0.39714395343402215,0.08841208552636366,0.043598134486148354,3.607695578412693e-06,3.04298010940225e-06,6.774274551109095e-07,3.340558376911913e-07,0.7742653343694557,0.17331816336585823,0.036068614885936635,0.016347887378749548,1.6640786352298547e-05,3.7250157013587744e-06,7.751995184299505e-07,3.513546185078192e-07,2.1492354085352202e-05,4.02161553724942e-06,6.768562041152158e-06,0.0014584911658748478
612500.0,19.0,1.0,10.0,0.29219913482666016,0.7606205344200134,9.658954501051394e-09,6.796714901045935e-09,0.005223284983623671,2.319098874150701e-11,6.880169119343003e-07,0.8506349570890167,0.14048731650183965,0.008876430881110151,1.295528033366606e-06,5.852512042446838e-07,9.665764436154198e-08,6.107134228696857e-09,8.913451479295466e-13,0.9249697065200797,0.0703365164668889,0.004693007272865896,7.697401654732694e-07,1.7104639566272763e-06,1.3006704479431798e-07,8.67835966069287e-09,1.4234118152514448e-12,1.8492107038644602e-06,6.52270067715878e-07,2.1429228062180578e-07,0.00011334211810731798
612500.0,25.0,1.0,10.0,0.07265885919332504,0.8351960778236389,2.3377230636884125e-09,1.5440960733046876e-09,0.00461879845325606,6.025634713274563e-12,1.8785777460716917e-07,0.8841077119468462,0.10850590912309789,0.007385381356004306,9.975740515932926e-07,1.660865161757354e-07,2.0383679711437404e-08,1.387401380479904e-09,1.8740205137629703e-13,0.9410324943342661,0.05481547896557607,0.004150848052972853,1.1786471851352637e-06,4.7628696870094533e-07,2.7743886073641597e-08,2.1008783953707013e-09,5.965514457320852e-13,5.061322955195015e-07,1.8509628805624745e-07,4.514693405631329e-08,2.7922117708543753e-05
