Initial_POC_Density,Ext_O2,Radius_mm,Ext_NO3,Anoxia_Duration_hr,Resp_Rate_nmol_C_mm3_hr,N2O_Net_Domain_SMS_mmol,N2O_Net_Core_SMS_mmol,N2O_Yield_molN2O_per_molC,N2_Net_Domain_SMS_mmol,C_Consumed_Core_mmol,Frac_Oxic_Core,Frac_Den1_Core,Frac_Den2_Core,Frac_Den3_Core,Oxic_C_Core_mmol,Den1_C_Core_mmol,Den2_C_Core_mmol,Den3_C_Core_mmol,Frac_Oxic_Domain,Frac_Den1_Domain,Frac_Den2_Domain,Frac_Den3_Domain,Oxic_C_Domain_mmol,Den1_C_Domain_mmol,Den2_C_Domain_mmol,Den3_C_Domain_mmol,C_Consumed_Domain_mmol,O2_Consumed_Core_mmol,NO3_Consumed_Core_mmol,DOC_Leakage_Core_mmol
200000.0,7.857142925262451,1.0,15.714285850524902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000.0,11.285714149475098,1.0,15.714285850524902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000.0,14.714285850524902,1.0,15.714285850524902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000.0,18.14285659790039,1.0,15.714285850524902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000.0,21.571428298950195,1.0,15.714285850524902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000.0,25.0,1.0,15.714285850524902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000.0,1.0,1.0,21.428571701049805,15.004704475402832,0.2054286152124405,3.8622203137906565e-07,-4.4423020502299536e-07,0.015247655855928055,2.6196028978308446e-06,9.542024559991164e-06,0.06792942093565889,0.6397177259325948,0.18096138313703083,0.11139146999471553,6.48184202914035e-07,6.1042022523105156e-06,1.7267379623035192e-06,1.0629001424630944e-06,0.34640014400999825,0.501242847230673,0.10613640920120447,0.0462205995581242,8.774290260994623e-06,1.2696444585549502e-05,2.6884274666011366e-06,1.170764399418021e-06,2.5329928418400685e-05,7.245242115141001e-07,1.3587660189538038e-05,0.001905797791992056
200000.0,4.4285712242126465,1.0,21.428571701049805,2.160536527633667,0.22597159445285797,7.508710732434105e-08,5.621497366878544e-08,0.018805500918686806,6.942573549575461e-10,1.5113589008856746e-06,0.6168390444077413,0.3496342626100874,0.03348834021614353,3.835276602780465e-05,9.322652140853637e-07,5.284228740687686e-07,5.061290290231624e-08,5.7964796417852124e-11,0.782297229674008,0.20073798392871794,0.016940301645454566,2.448475181948817e-05,3.123577143399861e-06,8.015119504810192e-07,6.763968606164046e-08,9.776336697119774e-11,3.992826761116896e-06,1.0416861683850158e-06,1.172088373078964e-06,0.00027427959117180475
200000.0,7.857142925262451,1.0,21.428571701049805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000.0,11.285714149475098,1.0,21.428571701049805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000.0,14.714285850524902,1.0,21.428571701049805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000.0,18.14285659790039,1.0,21.428571701049805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000.0,21.571428298950195,1.0,21.428571701049805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000.0,25.0,1.0,21.428571701049805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000.0,1.0,1.0,27.14285659790039,15.033045768737793,0.20644809305667877,3.8744398749526894e-07,-4.4572897604118094e-07,0.015212977541778793,2.627188380904355e-06,9.60749128504695e-06,0.06759579162074811,0.6412133132315948,0.180235035355699,0.11095585979195807,6.494259752920239e-07,6.160451284482638e-06,1.7316065218139952e-06,1.066007450050186e-06,0.3451667205375419,0.5028605136958784,0.10586986300283983,0.04610290276373989,8.79070358168868e-06,1.2806847983351207e-05,2.6962929173547894e-06,1.1741483994178213e-06,2.546799181365035e-05,7.25912687154742e-07,1.3712887897571581e-05,0.0019093500437874222
200000.0,4.4285712242126465,1.0,27.14285659790039,2.171887159347534,0.2264133244752884,7.558020562514488e-08,5.6584958819375925e-08,0.01880911759065317,6.987263606548736e-10,1.5222688953144925e-06,0.6156340063201192,0.3508606152037514,0.0334670873818752,3.829109425427408e-05,9.371605094349479e-07,5.341042072228055e-07,5.094590672074297e-08,5.828934241734783e-11,0.7814229117003874,0.20160910704990231,0.016943515438107227,2.4465811603206838e-05,3.1399721599766636e-06,8.101208370726282e-07,6.808370470226274e-08,9.831035941618068e-11,4.018274927618243e-06,1.047156319534606e-06,1.1847138911579881e-06,0.0002757175802496105
200000.0,7.857142925262451,1.0,27.14285659790039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000.0,11.285714149475098,1.0,27.14285659790039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000.0,14.714285850524902,1.0,27.14285659790039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000.0,18.14285659790039,1.0,27.14285659790039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000.0,21.571428298950195,1.0,27.14285659790039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200000.0,25.0,1.0,27.14285659790039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
