Time_min,Amp_Factor,Amp_Numeric,Min_Core_O2
5.25,125x,125,7.1652923
5.333333333333333,125x,125,7.268255
5.416666666666667,125x,125,7.3671455
5.5,125x,125,7.4621468
5.583333333333333,125x,125,7.5533056
5.666666666666667,125x,125,7.640751
5.75,125x,125,7.7245255
5.833333333333333,125x,125,7.8048687
5.916666666666667,125x,125,7.8819737
6.0,125x,125,7.9558945
6.083333333333333,125x,125,8.02659
6.166666666666667,125x,125,8.09433
6.25,125x,125,8.158939
6.333333333333333,125x,125,8.2209015
6.416666666666667,125x,125,8.279924
6.5,125x,125,8.336503
6.583333333333333,125x,125,8.39058
6.666666666666667,125x,125,8.442114
6.75,125x,125,8.491331
6.833333333333333,125x,125,8.538314
6.916666666666667,125x,125,8.583107
7.0,125x,125,8.626114
7.083333333333333,125x,125,8.666992
7.166666666666667,125x,125,8.70604
7.25,125x,125,8.743187
7.333333333333333,125x,125,8.778619
7.416666666666667,125x,125,8.812471
7.5,125x,125,8.844653
7.583333333333333,125x,125,8.875228
7.666666666666667,125x,125,8.904617
7.75,125x,125,8.932532
7.833333333333333,125x,125,8.958912
7.916666666666667,125x,125,8.983997
8.0,125x,125,9.008018
8.083333333333334,125x,125,9.030846
8.166666666666666,125x,125,9.052513
8.25,125x,125,9.07302
8.333333333333334,125x,125,9.09265
8.416666666666666,125x,125,9.111366
8.5,125x,125,9.129101
8.583333333333334,125x,125,9.145699
8.666666666666666,125x,125,9.1617775
8.75,125x,125,9.176848
8.833333333333334,125x,125,9.191404
8.916666666666666,125x,125,9.20503
9.0,125x,125,9.218119
9.083333333333334,125x,125,9.2303915
9.166666666666666,125x,125,9.241901
9.25,125x,125,9.253107
9.333333333333334,125x,125,9.263362
9.416666666666666,125x,125,9.273392
9.5,125x,125,9.283215
9.583333333333334,125x,125,9.292417
9.666666666666666,125x,125,9.300823
9.75,125x,125,9.309114
9.833333333333334,125x,125,9.316818
9.916666666666666,125x,125,9.323985
0.0,150x,150,9.995541
0.08333333333333333,150x,150,6.1627398
0.16666666666666666,150x,150,2.5307918
0.25,150x,150,0.0850336
0.3333333333333333,150x,150,0.0
0.4166666666666667,150x,150,0.0
0.5,150x,150,0.0005496378
0.5833333333333334,150x,150,0.00602599
0.6666666666666666,150x,150,0.00094638515
0.75,150x,150,0.0
0.8333333333333334,150x,150,0.0
0.9166666666666666,150x,150,0.0
1.0,150x,150,0.0
1.0833333333333333,150x,150,0.0
1.1666666666666667,150x,150,0.0
1.25,150x,150,0.0
1.3333333333333333,150x,150,0.0
1.4166666666666667,150x,150,0.0
1.5,150x,150,0.0024951987
1.5833333333333333,150x,150,0.006638218
1.6666666666666667,150x,150,0.014741028
1.75,150x,150,0.025939686
1.8333333333333333,150x,150,0.040854964
1.9166666666666667,150x,150,0.063506335
2.0,150x,150,0.09812169
2.0833333333333335,150x,150,0.14206438
2.1666666666666665,150x,150,0.21497147
2.25,150x,150,0.32472187
2.3333333333333335,150x,150,0.4718202
2.4166666666666665,150x,150,0.6485826
2.5,150x,150,0.84349585
2.5833333333333335,150x,150,1.0464057
2.6666666666666665,150x,150,1.2510896
2.75,150x,150,1.4551471
2.8333333333333335,150x,150,1.6587024
2.9166666666666665,150x,150,1.8628685
3.0,150x,150,2.0687063
3.0833333333333335,150x,150,2.2767448
3.1666666666666665,150x,150,2.4867823
3.25,150x,150,2.698009
3.3333333333333335,150x,150,2.9091268
3.4166666666666665,150x,150,3.1190498
3.5,150x,150,3.3267484
3.5833333333333335,150x,150,3.5315237
3.6666666666666665,150x,150,3.7330008
3.75,150x,150,3.9308934
3.8333333333333335,150x,150,4.125127
3.9166666666666665,150x,150,4.315563
4.0,150x,150,4.5021276
4.083333333333333,150x,150,4.6846447
4.166666666666667,150x,150,4.862979
4.25,150x,150,5.0369596
4.333333333333333,150x,150,5.2064266
4.416666666666667,150x,150,5.371271
4.5,150x,150,5.5313916
4.583333333333333,150x,150,5.6867394
4.666666666666667,150x,150,5.837333
4.75,150x,150,5.983166
4.833333333333333,150x,150,6.1242123
4.916666666666667,150x,150,6.2605677
5.0,150x,150,6.39229
5.083333333333333,150x,150,6.519494
5.166666666666667,150x,150,6.6422014
5.25,150x,150,6.760496
5.333333333333333,150x,150,6.874456
5.416666666666667,150x,150,6.9841857
5.5,150x,150,7.0897074
5.583333333333333,150x,150,7.1911597
5.666666666666667,150x,150,7.2886615
5.75,150x,150,7.3822403
5.833333333333333,150x,150,7.47208
5.916666666666667,150x,150,7.558241
6.0,150x,150,7.640812
6.083333333333333,150x,150,7.7199774
6.166666666666667,150x,150,7.7958965
6.25,150x,150,7.8686514
6.333333333333333,150x,150,7.938308
6.416666666666667,150x,150,8.004925
6.5,150x,150,8.068716
6.583333333333333,150x,150,8.129581
6.666666666666667,150x,150,8.187761
6.75,150x,150,8.2434635
6.833333333333333,150x,150,8.296656
6.916666666666667,150x,150,8.347446
7.0,150x,150,8.395996
7.083333333333333,150x,150,8.442156
7.166666666666667,150x,150,8.486455
7.25,150x,150,8.528725
7.333333333333333,150x,150,8.568824
7.416666666666667,150x,150,8.607267
7.5,150x,150,8.643899
7.583333333333333,150x,150,8.678862
7.666666666666667,150x,150,8.712139
7.75,150x,150,8.743774
7.833333333333333,150x,150,8.774057
7.916666666666667,150x,150,8.803008
8.0,150x,150,8.830133
8.083333333333334,150x,150,8.856347
8.166666666666666,150x,150,8.881006
8.25,150x,150,8.904431
8.333333333333334,150x,150,8.926832
8.416666666666666,150x,150,8.948055
8.5,150x,150,8.968206
8.583333333333334,150x,150,8.987691
8.666666666666666,150x,150,9.005964
8.75,150x,150,9.023534
8.833333333333334,150x,150,9.040163
8.916666666666666,150x,150,9.055918
9.0,150x,150,9.070927
9.083333333333334,150x,150,9.085164
9.166666666666666,150x,150,9.098619
9.25,150x,150,9.111586
9.333333333333334,150x,150,9.123688
9.416666666666666,150x,150,9.135157
9.5,150x,150,9.146086
9.583333333333334,150x,150,9.156382
9.666666666666666,150x,150,9.1664
9.75,150x,150,9.176184
9.833333333333334,150x,150,9.18516
9.916666666666666,150x,150,9.193629
0.0,250x,250,9.992568
0.08333333333333333,250x,250,3.6972477
0.16666666666666666,250x,250,0.0
0.25,250x,250,0.0
0.3333333333333333,250x,250,0.0
0.4166666666666667,250x,250,0.0
0.5,250x,250,0.0
0.5833333333333334,250x,250,0.0
0.6666666666666666,250x,250,0.0
0.75,250x,250,0.0
0.8333333333333334,250x,250,0.0
0.9166666666666666,250x,250,0.0
1.0,250x,250,0.0
1.0833333333333333,250x,250,0.0
1.1666666666666667,250x,250,0.0
1.25,250x,250,0.0
1.3333333333333333,250x,250,0.0
1.4166666666666667,250x,250,0.0
1.5,250x,250,0.0
1.5833333333333333,250x,250,0.0
1.6666666666666667,250x,250,0.0
1.75,250x,250,0.0
1.8333333333333333,250x,250,0.0
1.9166666666666667,250x,250,0.0
2.0,250x,250,0.0
2.0833333333333335,250x,250,5.200584e-05
2.1666666666666665,250x,250,0.00028953975
2.25,250x,250,0.0015038582
2.3333333333333335,250x,250,0.0042839134
2.4166666666666665,250x,250,0.008983591
2.5,250x,250,0.02014443
2.5833333333333335,250x,250,0.042853463
2.6666666666666665,250x,250,0.0830539
2.75,250x,250,0.1278601
2.8333333333333335,250x,250,0.19733503
2.9166666666666665,250x,250,0.29513142
3.0,250x,250,0.4211932
3.0833333333333335,250x,250,0.5719595
3.1666666666666665,250x,250,0.7418717
3.25,250x,250,0.9250634
3.3333333333333335,250x,250,1.1165104
3.4166666666666665,250x,250,1.3125825
3.5,250x,250,1.5109844
3.5833333333333335,250x,250,1.7105331
3.6666666666666665,250x,250,1.9106706
3.75,250x,250,2.1112862
3.8333333333333335,250x,250,2.312166
3.9166666666666665,250x,250,2.5130877
4.0,250x,250,2.7137237
4.083333333333333,250x,250,2.9134803
4.166666666666667,250x,250,3.1117156
4.25,250x,250,3.3078005
4.333333333333333,250x,250,3.5012567
4.416666666666667,250x,250,3.691626
4.5,250x,250,3.87856
4.583333333333333,250x,250,4.0618463
4.666666666666667,250x,250,4.2413454
4.75,250x,250,4.4168615
4.833333333333333,250x,250,4.5882707
4.916666666666667,250x,250,4.7555075
5.0,250x,250,4.9184523
5.083333333333333,250x,250,5.077014
5.166666666666667,250x,250,5.231126
5.25,250x,250,5.380727
5.333333333333333,250x,250,5.525742
5.416666666666667,250x,250,5.6662416
5.5,250x,250,5.8021793
5.583333333333333,250x,250,5.933688
5.666666666666667,250x,250,6.060746
5.75,250x,250,6.183345
5.833333333333333,250x,250,6.301585
5.916666666666667,250x,250,6.4156075
6.0,250x,250,6.5254436
6.083333333333333,250x,250,6.631196
6.166666666666667,250x,250,6.732946
6.25,250x,250,6.830761
6.333333333333333,250x,250,6.92478
6.416666666666667,250x,250,7.0151134
6.5,250x,250,7.1018286
6.583333333333333,250x,250,7.1850357
6.666666666666667,250x,250,7.2648
6.75,250x,250,7.341258
6.833333333333333,250x,250,7.4144826
6.916666666666667,250x,250,7.4846125
7.0,250x,250,7.551857
7.083333333333333,250x,250,7.616169
7.166666666666667,250x,250,7.6776724
7.25,250x,250,7.7365203
7.333333333333333,250x,250,7.7926917
7.416666666666667,250x,250,7.8464355
7.5,250x,250,7.8978434
7.583333333333333,250x,250,7.946914
